PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM
CITRATO DE POTÁSSIO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501601601114310
CITRATO DE POTÁSSIO MONOIDRATADO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501620070028807
CITRATO DE SILDENAFILA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508029001118412
CITRATO DE SÓDIO DI-HIDRATADO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508021090142607
CITRATO DE SÓDIO DIHIDRATADO;CITRATO DE POTÁSSIO MONOIDRATADO;GLICOSE;CLORETO DE SÓDIO,59.476.770/0001-58,PROCTER & GAMBLE DO BRASIL LTDA,528720090005617
CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508011403133413
CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE SÓDIO,49.351.786/0002-61,BAXTER HOSPITALAR LTDA,503220100030607
CITRATO DE SÓDIO DI-HIDRATADO;GLICOSE;CITRATO DE POTÁSSIO;CLORETO DE SÓDIO,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501101402139419
CITRATO DE SÓDIO;ÁCIDO ASCÓRBICO,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538801201135412
CITRATO DE SÓDIO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501101403135417
CITRATO DE SÓDIO;GLICOSE;CITRATO DE POTÁSSIO;CLORETO DE SÓDIO,33.069.212/0001-84,MERCK S/A,525419605131415
CITRATO DE SUFENTANILA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506705601154416
CITRATO DE TAMOXIFENO,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511502101110118
CITRATO DE TOFACITINIBE,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720060088617
CITRATO DE ZINCO TRI-HIDRATADO;ÁCIDO ASCÓRBICO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531619120085907
CITRATO DE ZINCO TRI-HIDRATADO;ASCORBATO DE SÓDIO;COLECALCIFEROL,18.459.628/0001-15,BAYER S.A.,538921030033407
CLADRIBINA,33.069.212/0001-84,MERCK S/A,525420020051407
CLARITROMICINA,57.507.378/0003-65,EMS S/A,541814100008906
CLAVULANATO DE POTÁSSIO,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504414010043718
CLAVULANATO DE POTÁSSIO;ÁCIDO CLAVULÂNICO;AMOXICILINA TRI-HIDRATADA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510619040061003
CLAVULANATO DE POTÁSSIO;AMOXICILINA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511512201134113
CLAVULANATO DE POTÁSSIO;AMOXICILINA SÓDICA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000204150118
CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504917090010306
CLAVULANATO DE POTÁSSIO;TICARCILINA DISSÓDICA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521050030417
CLIOQUINOL;ACETATO DE HIDROCORTISONA,18.324.343/0001-77,BELFAR LTDA,503402002160419
CLIOQUINOL;FLURANDRENOLIDA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504102101161312
CLIOQUINOL;HIDROCORTISONA,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538815601165416
CLIOQUINOL;PREDNISOLONA;SULFATO DE POLIMIXINA B;BENZOCAÍNA,57.507.378/0003-65,EMS S/A,507720702169418
CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508021060140006
CLOBAZAM,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720030060817
CLODRONATO DISSÓDICO,18.459.628/0001-15,BAYER S.A.,538900801114317
CLONAZEPAM,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508024001111115
CLONIXINATO DE LISINA,33.349.473/0001-58,FARMOQUÍMICA S/A,509020080023307
CLONIXINATO DE LISINA;CLORIDRATO DE CICLOBENZAPRINA,57.507.378/0003-65,EMS S/A,541820090145707
CLOPAMIDA;PINDOLOL,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526516201110413
CLORAMBUCILA,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505617060041717
CLORANFENICOL;ACETATO DE RETINOL;LEVOMETIONINA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501002401169316
CLORANFENICOL;AMINOÁCIDOS;ACETATO DE RETINOL;METIONINA (11 C),44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506719050078117
CLORANFENICOL;CLORIDRATO DE LIDOCAINA,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504617030059017
CLORANFENICOL;COLAGENASE,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506707802165411
CLORANFENICOL;FIBRINOLISINA;DESOXIRRIBONUCLEASE,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506706101163414
CLORATO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511218060035004
CLORDIAZEPÓXIDO;CLORIDRATO DE AMITRIPTILINA,61.186.136/0001-22,VALEANT FARMACÊUTICA DO BRASIL LTDA,512000801114415
CLORETO DE AMÔNIO;CITRATO DE SÓDIO DI-HIDRATADO;CLORIDRATO DE DIFENIDRAMINA,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506319120031807
CLORETO DE AMÔNIO;CITRATO DE SÓDIO;CLORIDRATO DE DIFENIDRAMINA,57.507.378/0003-65,EMS S/A,541820060128907
CLORETO DE BENZALCÔNIO,44.211.936/0001-37,AVERT LABORATÓRIOS LTDA,534300502271410
CLORETO DE BENZALCÔNIO;ÁCIDO BÓRICO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501002201178311
CLORETO DE BENZALCÔNIO;BENZOILMETRONIDAZOL;NISTATINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517117060014303
CLORETO DE BENZALCÔNIO;LISOZIMA;NISTATINA;METRONIDAZOL,33.349.473/0001-58,FARMOQUÍMICA S/A,509001201161414
CLORETO DE BENZALCÔNIO;ÓXIDO DE ZINCO;CÂNFORA (2-BORNANONA),84.683.382/0001-95,MINÂNCORA & CIA LTDA,525700101168410
CLORETO DE BENZETÔNIO,92.928.951/0001-43,LABORATORIO INDUSTRIAL FARMACÊUTICO LIFAR LTDA,518200501172423
CLORETO DE CÁLCIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511216120033403
CLORETO DE CÁLCIO 2H2O,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509518040032303
CLORETO DE CÁLCIO;BICARBONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;ÁCIDO ACÉTICO;CLORETO DE MAGNÉSIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508300201157412
CLORETO DE CÁLCIO;BICARBONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE MAGNÉSIO,92.832.195/0001-54,SALBEGO LABORATÓRIO FARMACÊUTICO LTDA,530300101159413
CLORETO DE CÁLCIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;ÁCIDO ACÉTICO,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508601401171416
CLORETO DE CÁLCIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO,01.440.590/0001-36,FRESENIUS MEDICAL CARE LTDA,509602901133411
CLORETO DE CÁLCIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508303802151413
CLORETO DE CÁLCIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE MAGNÉSIO,92.832.195/0001-54,SALBEGO LABORATÓRIO FARMACÊUTICO LTDA,530300303177412
CLORETO DE CÁLCIO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO;ÁCIDO ACÉTICO;CLORETO DE MAGNÉSIO,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508600302153411
CLORETO DE CÁLCIO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO;CLORETO DE MAGNÉSIO,92.832.195/0001-54,SALBEGO LABORATÓRIO FARMACÊUTICO LTDA,530300201171415
CLORETO DE CÁLCIO;GELATINA;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509504103151410
CLORETO DE CÁLCIO;LACTATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511214090024203
CLORETO DE CÁLCIO;TROMBINA;FIBRINOGÊNIO,54.516.661/0001-01,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,537400203139319
CLORETO DE CETILPIRIDÍNIO,44.010.437/0001-81,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,505512070020603
CLORETO DE CETILPIRIDÍNIO;BENZOCAÍNA,92.695.691/0001-03,KLEY HERTZ FARMACEUTICA S.A,515102608113411
CLORETO DE DEQUALÍNIO;BENZOCAÍNA,33.349.473/0001-58,FARMOQUÍMICA S/A,509001401111313
CLORETO DE MAGNÉSIO HEXAIDRATADO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508314060020407
CLORETO DE MAGNÉSIO HEXAIDRATADO;BICARBONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;GLICOSE MONOIDRATADA;CLORETO DE CÁLCIO DIIDRATADO,31.673.254/0001-02,LABORATÓRIOS B. BRAUN S/A,520906603176317
CLORETO DE MAGNÉSIO HEXAIDRATADO;BICARBONATO DE SÓDIO;CLORETO DE SÓDIO;GLICOSE MONOIDRATADA;CLORETO DE CÁLCIO DIIDRATADO,31.673.254/0001-02,LABORATÓRIOS B. BRAUN S/A,520906501179317
CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO,92.832.195/0001-54,SALBEGO LABORATÓRIO FARMACÊUTICO LTDA,530318080003007
CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO;ÁCIDO ACÉTICO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508318120022307
CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO,92.832.195/0001-54,SALBEGO LABORATÓRIO FARMACÊUTICO LTDA,530317120002003
CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE SÓDIO;GLICOSE MONOIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013110100505
CLORETO DE METILTIONÍNIO;ATROPA BELLADONNA;ALOÍNA;TEOBROMINA,19.791.813/0001-75,LABORATÓRIOS OSÓRIO DE MORAES LTDA,522101401119419
CLORETO DE OXIBUTININA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501602402115315
CLORETO DE POTÁSSIO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510617100057317
CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509507102156413
CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013040096105
CLORETO DE RÁDIO (223 RA),18.459.628/0001-15,BAYER S.A.,538916110027307
CLORETO DE SÓDIO,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523706901135418
CLORETO DE SÓDIO USP;CLORETO DE POTÁSSIO;CLORETO DE CÁLCIO DIIDRATADO,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508620090011507
CLORETO DE SÓDIO;GLICOSE MONOIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508030504152411
CLORETO DE SUXAMETÔNIO,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533010201155414
CLORETO DE TRÓSPIO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501620100030607
CLORETO FÉRRICO;IODETO DE POTÁSSIO;MOLIBDATO DE SÓDIO DIIDRATADO;CLORETO DE ZINCO;CLORETO CRÔMICO HEXAIDRATADO;SELENITO DE SÓDIO;CLORETO CÚPRICO;DICLORETO DE MANGANÊS TETRAIDRATADO;FLUORETO DE SÓDIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509520120028007
CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526517080091217
CLORIDRATO DE ALECTINIBE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529219040027601
CLORIDRATO DE ALFENTANILA MONOIDRATADA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506700201158413
CLORIDRATO DE ALFUZOSINA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720090086817
CLORIDRATO DE ALIZAPRIDA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720030059917
CLORIDRATO DE AMANTADINA,14.806.008/0001-54,MOMENTA FARMACÊUTICA LTDA.,543518010008317
CLORIDRATO DE AMBROXOL,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504913100008704
CLORIDRATO DE AMILORIDA;CLORTALIDONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508006402116411
CLORIDRATO DE AMILORIDA;HIDROCLOROTIAZIDA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525504601110314
CLORIDRATO DE AMINOLEVULINATO DE METILA,00.317.372/0001-46,GALDERMA BRASIL LTDA,510101901177315
CLORIDRATO DE AMIODARONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523700202111413
CLORIDRATO DE AMITRIPTILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508002901118115
CLORIDRATO DE AMOROLFINA,57.507.378/0003-65,EMS S/A,541820050128007
CLORIDRATO DE AMOROLFINA;AMOROLFINA,00.317.372/0001-46,GALDERMA BRASIL LTDA,510119010006103
CLORIDRATO DE ANAGRELIDA,57.507.378/0003-65,EMS S/A,541820040125907
CLORIDRATO DE AZELASTINA,57.507.378/0003-65,EMS S/A,507706901176117
CLORIDRATO DE BAMBUTEROL,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502300601131310
CLORIDRATO DE BAMIFILINA,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508500701110418
CLORIDRATO DE BENAZEPRIL,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504120070069307
CLORIDRATO DE BENAZEPRIL;BESILATO DE ANLODIPINO,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504116120056803
CLORIDRATO DE BENSERAZIDA;LEVODOPA,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529204102111318
CLORIDRATO DE BENZIDAMINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000604116413
CLORIDRATO DE BESIFLOXACINO,27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA,503101301134315
CLORIDRATO DE BETAISTINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013110099904
CLORIDRATO DE BETAXOLOL,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500900501172314
CLORIDRATO DE BIPERIDENO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506702303111412
CLORIDRATO DE BROMEXINA,57.507.378/0003-65,EMS S/A,507737101139111
CLORIDRATO DE BUPIVACAÍNA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506710201150411
CLORIDRATO DE BUPIVACAÍNA;GLICOSE,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506710502150419
CLORIDRATO DE BUPIVACAÍNA;HEMITARTARATO DE EPINEFRINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506710301155413
CLORIDRATO DE BUPROPIONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523705701116411
CLORIDRATO DE BUSPIRONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523700401114412
CLORIDRATO DE BUTENAFINA,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504611502172316
CLORIDRATO DE CEFEPIMA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070034717
CLORIDRATO DE CICLOBENZAPRINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508021802111119
CLORIDRATO DE CICLOBENZAPRINA;CAFEÍNA ANIDRA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501605001111313
CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA,57.507.378/0003-65,EMS S/A,541816050015206
CLORIDRATO DE CICLOPENTOLATO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501001401173315
CLORIDRATO DE CIMETIDINA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510607602111410
CLORIDRATO DE CINACALCETE,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511518030066506
CLORIDRATO DE CIPROEPTADINA,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506312020026503
CLORIDRATO DE CIPROEPTADINA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;NIACINAMIDA,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504921020012207
CLORIDRATO DE CIPROEPTADINA;COBAMAMIDA,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500217080037503
CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;MONOFOSFATO DE RIBOFLAVINA SÓDICA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504902301130411
CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO,57.507.378/0003-65,EMS S/A,507702601135412
CLORIDRATO DE CIPROFLOXACINO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508016100113806
CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504912120008406
CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO;CIPROFLOXACINO,29.785.870/0001-03,LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA,519021401112114
CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO;DEXAMETASONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500900702178417
CLORIDRATO DE CIPROFLOXACINO;CIPROFLOXACINO,18.459.628/0001-15,BAYER S.A.,538915100024317
CLORIDRATO DE CIPROFLOXACINO;CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,29.785.870/0001-03,LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA,519021403115110
CLORIDRATO DE CIPROFLOXACINO;DEXAMETASONA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501001102176312
CLORIDRATO DE CIPROFLOXACINO;HIDROCORTISONA,33.349.473/0001-58,FARMOQUÍMICA S/A,509013100012103
CLORIDRATO DE CLINDAMICINA,57.507.378/0003-65,EMS S/A,507735702119117
CLORIDRATO DE CLINDAMICINA MONOIDRATADO,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522718030075017
CLORIDRATO DE CLOMIPRAMINA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511519120069807
CLORIDRATO DE CLONIDINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506702502155312
CLORIDRATO DE CLORPROMAZINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506708203151411
CLORIDRATO DE DAUNORRUBICINA,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508618110009117
CLORIDRATO DE DELAPRIL;DICLORIDRATO DE MANIDIPINO,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508503101114311
CLORIDRATO DE DEXMEDETOMIDINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508018090122706
CLORIDRATO DE DEXRAZOXANO,55.980.684/0001-27,ZODIAC PRODUTOS FARMACÊUTICOS S/A,534200201154419
CLORIDRATO DE DEXTROCETAMINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506707701156417
CLORIDRATO DE DIFENIDRAMINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506704101158414
CLORIDRATO DE DIFENIDRAMINA;CÂNFORA (2-BORNANONA);CALAMINA,47.100.862/0001-50,LABORATIL FARMACEUTICA LTDA,505219020020304
CLORIDRATO DE DILTIAZEM,61.150.447/0001-31,LABORATÓRIOS BALDACCI LTDA,521000608119310
CLORIDRATO DE DOBUTAMINA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070034617
CLORIDRATO DE DONEPEZILA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017050116504
CLORIDRATO DE DOPAMINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506704501156419
CLORIDRATO DE DORZOLAMIDA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525502401173413
CLORIDRATO DE DOXICICLINA,57.507.378/0003-65,EMS S/A,507707301113112
CLORIDRATO DE DOXORRUBICINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523708101152314
CLORIDRATO DE DULOXETINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523712120026704
CLORIDRATO DE EPINASTINA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501006101135311
CLORIDRATO DE EPIRRUBICINA,61.282.661/0001-41,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,519507102153419
CLORIDRATO DE ERLOTINIBE,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511520050071307
CLORIDRATO DE ESCETAMINA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514521030038805
CLORIDRATO DE ESMOLOL,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506701602156411
CLORIDRATO DE ETILEFRINA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533005701153414
CLORIDRATO DE FENAZOPIRIDINA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533012120057914
CLORIDRATO DE FENILEFRINA,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504914030009203
CLORIDRATO DE FENOXAZOLINA,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504617030058517
CLORIDRATO DE FEXOFENADINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508020040129717
CLORIDRATO DE FEXOFENADINA;CLORIDRATO DE PSEUDOEFEDRINA,57.507.378/0003-65,EMS S/A,507726903115411
CLORIDRATO DE FINGOLIMODE,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526532501115315
CLORIDRATO DE FLUOXETINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508007401113417
CLORIDRATO DE FLURAZEPAM,27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA,503120120001717
CLORIDRATO DE GENCITABINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523708701151416
CLORIDRATO DE GRANISETRONA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521040030017
CLORIDRATO DE HIDRALAZINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526501202116417
CLORIDRATO DE HIDROXIZINA,61.517.397/0001-88,THERASKIN FARMACEUTICA LTDA.,512118100009503
CLORIDRATO DE HIDROXOCOBALAMINA;FOSFATO DISSÓDICO DE DEXAMETASONA;DIPIRONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508006001154411
CLORIDRATO DE HIDROXOCOBALAMINA;TRIPTOFANO;CLORIDRATO DE ARGININA;GLUTAMINA;FOSFATO DE LEVOTREONINA;DEXFOSFOSSERINA,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508501701130417
CLORIDRATO DE IDARRUBICINA,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508618120009417
CLORIDRATO DE IMIPRAMINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526527904118316
CLORIDRATO DE IOIMBINA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501603301118317
CLORIDRATO DE IRINOTECANO,46.070.868/0036-99,LABORATÓRIOS PFIZER LTDA,522212050053203
CLORIDRATO DE IRINOTECANO TRIIDRATADO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509517010031706
